标准水听器文件
标准水听器编号:RHS20-2017919
频率(Hz),灵敏度(dB)
1000,-201.1
1025,-201.1
1600,-201.4
2000,-201.3
2500,-201.4
3150,-201.7
4000,-201.7
5000,-201.5
6300,-201.5
8000,-201.4
10000,-201.8
12500,-202.1
16000,-202.8
20000,-202.7
25000,-203.2
31500,-203.9
40000,-202.3
50000,-201.7
63000,-199.2
80000,-202.3
100000,-210.6
125000,-212.9
