标准水听器文件
标准水听器编号:RHS20-2017918
频率(Hz),灵敏度(dB)
1000,-201.4
1025,-200.7
1600,-201.4
2000,-201.2
2500,-201.4
3150,-201.6
4000,-201.7
5000,-201.7
6300,-201.7
8000,-201.3
10000,-202.0
12500,-202.4
16000,-203.3
20000,-202.7
25000,-203.3
31500,-204.0
40000,-203.0
50000,-202.7
63000,-201.5
80000,-204.2
100000,-209.4
125000,-217.2
